"Wall Time","Configuration ID","Run History ID","Generation Count","Run Count","Final Performance","Origin-Challenge-Round-1","Origin-Challenge-Round-128","Origin-Challenge-Round-15","Origin-Challenge-Round-16","Origin-Challenge-Round-2","Origin-Challenge-Round-256","Origin-Challenge-Round-28","Origin-Challenge-Round-32","Origin-Challenge-Round-4","Origin-Challenge-Round-64","Origin-Challenge-Round-8","Origin-DEFAULT","Origin-Final-Challenge-Round","Origin-Final-Challenge-Round-16","Origin-Model-Builder-1.0","Origin-Model-Builder-100.0","Origin-Model-Builder-103.0","Origin-Model-Builder-104.0","Origin-Model-Builder-105.0","Origin-Model-Builder-106.0","Origin-Model-Builder-107.0","Origin-Model-Builder-110.0","Origin-Model-Builder-111.0","Origin-Model-Builder-112.0","Origin-Model-Builder-113.0","Origin-Model-Builder-114.0","Origin-Model-Builder-115.0","Origin-Model-Builder-116.0","Origin-Model-Builder-117.0","Origin-Model-Builder-118.0","Origin-Model-Builder-119.0","Origin-Model-Builder-120.0","Origin-Model-Builder-121.0","Origin-Model-Builder-123.0","Origin-Model-Builder-124.0","Origin-Model-Builder-125.0","Origin-Model-Builder-126.0","Origin-Model-Builder-127.0","Origin-Model-Builder-128.0","Origin-Model-Builder-131.0","Origin-Model-Builder-132.0","Origin-Model-Builder-133.0","Origin-Model-Builder-134.0","Origin-Model-Builder-135.0","Origin-Model-Builder-136.0","Origin-Model-Builder-137.0","Origin-Model-Builder-138.0","Origin-Model-Builder-139.0","Origin-Model-Builder-14.0","Origin-Model-Builder-140.0","Origin-Model-Builder-141.0","Origin-Model-Builder-142.0","Origin-Model-Builder-143.0","Origin-Model-Builder-144.0","Origin-Model-Builder-145.0","Origin-Model-Builder-146.0","Origin-Model-Builder-147.0","Origin-Model-Builder-148.0","Origin-Model-Builder-149.0","Origin-Model-Builder-15.0","Origin-Model-Builder-150.0","Origin-Model-Builder-151.0","Origin-Model-Builder-152.0","Origin-Model-Builder-153.0","Origin-Model-Builder-154.0","Origin-Model-Builder-155.0","Origin-Model-Builder-156.0","Origin-Model-Builder-157.0","Origin-Model-Builder-158.0","Origin-Model-Builder-159.0","Origin-Model-Builder-160.0","Origin-Model-Builder-161.0","Origin-Model-Builder-162.0","Origin-Model-Builder-163.0","Origin-Model-Builder-164.0","Origin-Model-Builder-165.0","Origin-Model-Builder-166.0","Origin-Model-Builder-167.0","Origin-Model-Builder-168.0","Origin-Model-Builder-169.0","Origin-Model-Builder-170.0","Origin-Model-Builder-171.0","Origin-Model-Builder-172.0","Origin-Model-Builder-173.0","Origin-Model-Builder-174.0","Origin-Model-Builder-175.0","Origin-Model-Builder-176.0","Origin-Model-Builder-177.0","Origin-Model-Builder-178.0","Origin-Model-Builder-179.0","Origin-Model-Builder-180.0","Origin-Model-Builder-181.0","Origin-Model-Builder-182.0","Origin-Model-Builder-183.0","Origin-Model-Builder-19.0","Origin-Model-Builder-2.0","Origin-Model-Builder-21.0","Origin-Model-Builder-25.0","Origin-Model-Builder-27.0","Origin-Model-Builder-3.0","Origin-Model-Builder-30.0","Origin-Model-Builder-31.0","Origin-Model-Builder-34.0","Origin-Model-Builder-35.0","Origin-Model-Builder-36.0","Origin-Model-Builder-38.0","Origin-Model-Builder-39.0","Origin-Model-Builder-40.0","Origin-Model-Builder-42.0","Origin-Model-Builder-43.0","Origin-Model-Builder-44.0","Origin-Model-Builder-47.0","Origin-Model-Builder-5.0","Origin-Model-Builder-50.0","Origin-Model-Builder-52.0","Origin-Model-Builder-54.0","Origin-Model-Builder-56.0","Origin-Model-Builder-57.0","Origin-Model-Builder-61.0","Origin-Model-Builder-62.0","Origin-Model-Builder-63.0","Origin-Model-Builder-66.0","Origin-Model-Builder-67.0","Origin-Model-Builder-68.0","Origin-Model-Builder-69.0","Origin-Model-Builder-70.0","Origin-Model-Builder-71.0","Origin-Model-Builder-72.0","Origin-Model-Builder-74.0","Origin-Model-Builder-75.0","Origin-Model-Builder-78.0","Origin-Model-Builder-8.0","Origin-Model-Builder-80.0","Origin-Model-Builder-81.0","Origin-Model-Builder-82.0","Origin-Model-Builder-83.0","Origin-Model-Builder-84.0","Origin-Model-Builder-85.0","Origin-Model-Builder-87.0","Origin-Model-Builder-90.0","Origin-Model-Builder-91.0","Origin-Model-Builder-94.0","Origin-RANDOM",
"-0.028","0x000A","1","3","8","0.06","","","","","","","","","","","","true; ","","","EIMethod=EXPONENTIAL; EI=4.512500000144413E11; firstArg(k)=0.10500000000000001; ModelVersion=1.0; ModelPoints=1.0; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EIMethod=EXPONENTIAL; EI=4.23633620575871; firstArg(k)=0.10500000000000001; ModelVersion=2.0; ModelPoints=3.0; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"0.322","0x000D","3","2","1","1.2626007426261903","Continue=False; IncumbentCost=0.2; ChallengeCost=1.2626007426261903; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=1; ",
"0.329","0x0010","4","2","1","1.2626007426261903","Continue=False; IncumbentCost=0.2; ChallengeCost=1.2626007426261903; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=2; ",
"0.336","0x0012","2","5","16","0.5130516666666666","Continue=Final; IncumbentCost=0.2; ChallengeCost=0.19; ","","","","","","","","Continue=Final; IncumbentCost=0.07125000000000001; ChallengeCost=0.06; ","","","","NewIncumbent=True; IncumbentCost=0.06; ChallengeCost=0.0417; IncumbentRuns=8; ChallengerRuns=8; OldIncumbent=1 (0x000A); State=WAITING; ","NewIncumbent=False; IncumbentCost=0.028166666666666666; ChallengeCost=0.5130516666666666; IncumbentRuns=16; ChallengerRuns=16; Incumbent=22 (0x3131D); ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=3; ",
"0.396","0x0015","5","2","1","1.2626007426261903","Continue=False; IncumbentCost=0.2; ChallengeCost=1.2626007426261903; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=4; ",
"0.403","0x0017","7","2","1","1.2626007426261903","Continue=False; IncumbentCost=0.2; ChallengeCost=1.2626007426261903; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=5; ",
"0.421","0x001A","6","3","2","0.6369500917434693","Continue=True; IncumbentCost=0.01; ChallengeCost=0.01; RunsNeededLeft=3; ","","","","Continue=False; IncumbentCost=0.068375; ChallengeCost=0.6369500917434693; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=6; ",
"0.448","0x001D","8","4","4","0.3396251800775528","Continue=True; IncumbentCost=0.01; ChallengeCost=0.01; RunsNeededLeft=3; ","","","","Continue=True; IncumbentCost=0.015; ChallengeCost=0.01; RunsNeededLeft=6; ","","","","Continue=False; IncumbentCost=0.048375; ChallengeCost=0.3396251800775528; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=7; ",
"0.754","0x0020","13","2","1","1.2626007426261903","Continue=False; IncumbentCost=0.23500000000000001; ChallengeCost=1.2626007426261903; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=8; ",
"2.092","0x0CEF","9","2","1","0.03","Continue=False; IncumbentCost=0.02; ChallengeCost=0.03; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=9; ",
"2.201","0x0E29","10","3","2","0.6647003799915314","Continue=True; IncumbentCost=0.02; ChallengeCost=0.02; RunsNeededLeft=7; ","","","","Continue=False; IncumbentCost=0.073375; ChallengeCost=0.6647003799915314; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=10; ",
"2.225","0x0F63","11","4","4","0.2060791685263316","Continue=True; IncumbentCost=0.02; ChallengeCost=0.01; RunsNeededLeft=7; ","","","","Continue=True; IncumbentCost=0.0175; ChallengeCost=0.015; RunsNeededLeft=6; ","","","","Continue=False; IncumbentCost=0.05391666666666667; ChallengeCost=0.2060791685263316; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=11; ",
"2.996","0x2B7E","12","3","2","0.015","Continue=True; IncumbentCost=0.02; ChallengeCost=0.02; RunsNeededLeft=7; ","","","","Continue=False; IncumbentCost=0.0125; ChallengeCost=0.015; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=12; ",
"3.111","0x3065","16","2","1","1.1673750508308411","Continue=False; IncumbentCost=0.12675; ChallengeCost=1.1673750508308411; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=13; ",
"3.238","0x0C52","14","4","4","0.0875","Continue=True; IncumbentCost=0.036750000000000005; ChallengeCost=0.01; RunsNeededLeft=7; ","","","","Continue=True; IncumbentCost=0.025875000000000002; ChallengeCost=0.015; RunsNeededLeft=6; ","","","","Continue=False; IncumbentCost=0.047125; ChallengeCost=0.0875; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EIMethod=EXPONENTIAL; EI=4.23633620575871; firstArg(k)=0.10500000000000001; ModelVersion=2.0; ModelPoints=3.0; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4.399","0xA8FD","15","4","4","0.40215833705266324","Continue=True; IncumbentCost=0.02; ChallengeCost=0.01; RunsNeededLeft=7; ","","","","Continue=True; IncumbentCost=0.0175; ChallengeCost=0.015; RunsNeededLeft=6; ","","","","Continue=False; IncumbentCost=0.05391666666666667; ChallengeCost=0.40215833705266324; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=14; ",
"4.684","0x1924","17","4","4","0.3098875883340836","Continue=True; IncumbentCost=0.036750000000000005; ChallengeCost=0.01; RunsNeededLeft=7; ","","","","Continue=True; IncumbentCost=0.023375000000000003; ChallengeCost=0.01; RunsNeededLeft=6; ","","","","Continue=False; IncumbentCost=0.047125; ChallengeCost=0.3098875883340836; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","EIMethod=EXPONENTIAL; EI=1.118082131056304; firstArg(k)=0.0625; ModelVersion=3.0; ModelPoints=12.0; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"4.69","0xAF0A","19","2","1","1.1673750508308411","Continue=False; IncumbentCost=0.12675; ChallengeCost=1.1673750508308411; ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","SelectionCount=15; ",
