1: sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='100', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-orig-clause-sort-heur='0', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='1.0', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur='0', sp-resolution='1', sp-restart-inc='1.5', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.0', sp-var-dec-heur='0', sp-variable-decay='1.4'
2: sp-clause-activity-inc='0.8465275160709818', sp-clause-decay='1.2538292392655532', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='409', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.158436057832488', sp-learned-size-factor='1.5414713490927399', sp-max-res-lit-inc='0.9154833846802131', sp-max-res-runs='1', sp-orig-clause-sort-heur='2', sp-phase-dec-heur='2', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='0.8732886086180116', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.3456827135749562', sp-res-cutoff-cls='17', sp-res-cutoff-lits='824', sp-res-order-heur='9', sp-resolution='1', sp-restart-inc='1.3964195707286944', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.2343827426030685', sp-var-dec-heur='0', sp-variable-decay='1.453544938701346'
3: sp-clause-activity-inc='0.7559999568055847', sp-clause-decay='1.474644782163229', sp-clause-del-heur='0', sp-clause-inversion='0', sp-first-restart='351', sp-learned-clause-sort-heur='8', sp-learned-clauses-inc='1.3667164969012244', sp-learned-size-factor='0.42062292868282847', sp-max-res-lit-inc='0.9288295054459565', sp-max-res-runs='30', sp-orig-clause-sort-heur='4', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.05', sp-rand-phase-scaling='0.31922882206888986', sp-rand-var-dec-freq='0.05', sp-rand-var-dec-scaling='0.5407438305137061', sp-res-cutoff-cls='13', sp-res-cutoff-lits='137', sp-res-order-heur='17', sp-resolution='1', sp-restart-inc='1.5163206121418593', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.2253024091665115', sp-var-dec-heur='12', sp-variable-decay='1.1150408522811603'
4: sp-clause-activity-inc='0.7405145631429542', sp-clause-decay='1.555814751316602', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='330', sp-learned-clause-sort-heur='13', sp-learned-clauses-inc='1.165400785006626', sp-learned-size-factor='0.11252499649241529', sp-max-res-lit-inc='0.3700605960174508', sp-max-res-runs='6', sp-orig-clause-sort-heur='3', sp-phase-dec-heur='4', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.9228394761366767', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='1.0308256526825708', sp-res-cutoff-cls='7', sp-res-cutoff-lits='184', sp-res-order-heur='3', sp-resolution='1', sp-restart-inc='1.4551303870562138', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.5792936623595002', sp-var-dec-heur='18', sp-variable-decay='1.269314925274446'
5: sp-clause-activity-inc='0.5754234573651715', sp-clause-decay='1.8774791606617904', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='82', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.1447728446319974', sp-learned-size-factor='0.29018416702142535', sp-max-res-lit-inc='1.631682888905532', sp-max-res-runs='3', sp-orig-clause-sort-heur='17', sp-phase-dec-heur='5', sp-rand-phase-dec-freq='0.0001', sp-rand-phase-scaling='0.4226071867546756', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.31769414170081683', sp-res-cutoff-cls='4', sp-res-cutoff-lits='1222', sp-res-order-heur='17', sp-resolution='1', sp-restart-inc='1.2121390827531588', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.8805934022763556', sp-var-dec-heur='9', sp-variable-decay='1.2727818363495618'
6: sp-clause-activity-inc='0.6329240364958187', sp-clause-decay='1.4319887012950085', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='1205', sp-learned-clause-sort-heur='19', sp-learned-clauses-inc='1.272880971455969', sp-learned-size-factor='0.770228651698949', sp-max-res-lit-inc='0.39948481840567696', sp-max-res-runs='4', sp-orig-clause-sort-heur='14', sp-phase-dec-heur='0', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.5450300678624658', sp-rand-var-dec-freq='0.01', sp-rand-var-dec-scaling='0.7799602397890641', sp-res-cutoff-cls='2', sp-res-cutoff-lits='100', sp-res-order-heur='5', sp-resolution='2', sp-restart-inc='1.5480418690817024', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='0.9773064939349181', sp-var-dec-heur='17', sp-variable-decay='1.2171593116581123'
7: sp-clause-activity-inc='0.9149659783760594', sp-clause-decay='1.8444573877532586', sp-clause-del-heur='1', sp-clause-inversion='1', sp-first-restart='406', sp-learned-clause-sort-heur='9', sp-learned-clauses-inc='1.155816278249278', sp-learned-size-factor='0.17596096242661843', sp-max-res-lit-inc='0.3714148604576015', sp-max-res-runs='1', sp-orig-clause-sort-heur='2', sp-phase-dec-heur='1', sp-rand-phase-dec-freq='0.001', sp-rand-phase-scaling='0.6470888946320434', sp-rand-var-dec-freq='0.0001', sp-rand-var-dec-scaling='0.5774962117983595', sp-res-cutoff-cls='8', sp-res-cutoff-lits='143', sp-res-order-heur='12', sp-resolution='1', sp-restart-inc='1.1678376196472895', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='0.6235727371603681', sp-var-dec-heur='14', sp-variable-decay='1.1643727317118961'
8: sp-clause-activity-inc='0.5112638427367974', sp-clause-decay='1.947573767722742', sp-clause-del-heur='1', sp-clause-inversion='0', sp-first-restart='105', sp-learned-clause-sort-heur='4', sp-learned-clauses-inc='1.2094321124843044', sp-learned-size-factor='0.3371865107481418', sp-max-res-lit-inc='0.4372278828580265', sp-max-res-runs='27', sp-orig-clause-sort-heur='11', sp-phase-dec-heur='4', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='1.0485073619571417', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.9124523463135616', sp-res-cutoff-cls='20', sp-res-cutoff-lits='1484', sp-res-order-heur='3', sp-resolution='2', sp-restart-inc='1.5615927812173795', sp-update-dec-queue='0', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.126649434627475', sp-var-dec-heur='11', sp-variable-decay='1.265704036506693'
9: sp-clause-activity-inc='0.8132010926196377', sp-clause-decay='1.2444938984313554', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='658', sp-learned-clause-sort-heur='4', sp-learned-clauses-inc='1.1181258539691004', sp-learned-size-factor='1.0537888026190847', sp-max-res-lit-inc='2.7210196159302447', sp-max-res-runs='8', sp-orig-clause-sort-heur='18', sp-phase-dec-heur='3', sp-rand-phase-dec-freq='0.005', sp-rand-phase-scaling='0.7440004986774846', sp-rand-var-dec-freq='0.001', sp-rand-var-dec-scaling='0.8343700445976956', sp-res-cutoff-cls='18', sp-res-cutoff-lits='768', sp-res-order-heur='6', sp-resolution='1', sp-restart-inc='1.5739014169814962', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.2439738514173968', sp-var-dec-heur='5', sp-variable-decay='1.9262886351904165'
10: sp-clause-activity-inc='0.7811139979577482', sp-clause-decay='1.0220592965987796', sp-clause-del-heur='2', sp-clause-inversion='0', sp-first-restart='309', sp-learned-clause-sort-heur='0', sp-learned-clauses-inc='1.1658046549172811', sp-learned-size-factor='0.21885519161359457', sp-max-res-lit-inc='1.248426742267862', sp-max-res-runs='5', sp-orig-clause-sort-heur='13', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0.01', sp-rand-phase-scaling='0.3127916771169715', sp-rand-var-dec-freq='0.005', sp-rand-var-dec-scaling='0.7003553782382008', sp-res-cutoff-cls='8', sp-res-cutoff-lits='646', sp-res-order-heur='0', sp-resolution='2', sp-restart-inc='1.1977304782741895', sp-update-dec-queue='1', sp-use-pure-literal-rule='1', sp-var-activity-inc='1.1588157604099203', sp-var-dec-heur='17', sp-variable-decay='1.2666235595975968'
11: sp-clause-activity-inc='0.9374948025488413', sp-clause-decay='1.581804944720749', sp-clause-del-heur='2', sp-clause-inversion='1', sp-first-restart='52', sp-learned-clause-sort-heur='1', sp-learned-clauses-inc='1.1956924408732672', sp-learned-size-factor='0.8401121794616331', sp-max-res-lit-inc='0.2791898945787918', sp-max-res-runs='13', sp-orig-clause-sort-heur='1', sp-phase-dec-heur='6', sp-rand-phase-dec-freq='0', sp-rand-phase-scaling='0.8908210865647819', sp-rand-var-dec-freq='0', sp-rand-var-dec-scaling='0.8993879755775911', sp-res-cutoff-cls='3', sp-res-cutoff-lits='505', sp-res-order-heur='8', sp-resolution='0', sp-restart-inc='1.495481608221812', sp-update-dec-queue='1', sp-use-pure-literal-rule='0', sp-var-activity-inc='1.2971635041684175', sp-var-dec-heur='17', sp-variable-decay='1.058311905469749'
