Run Number,Run History Configuration ID,Instance ID,Response Value (y),Censored?,Cutoff Time Used,Seed,Runtime,Run Length,Run Result Code,Run Quality,SMAC Iteration,SMAC Cumulative Runtime,Run Result,Additional Algorithm Run Data,Wall Clock Time,
1,1,3,0.2,0,5.0,8435516,0.2,0.0,2,0.0,0,0.2,UNSAT,,0.236,
2,1,1,0.01,0,5.0,5320365,0.01,0.0,2,0.0,0,0.21000000000000002,UNSAT,,0.041,
3,2,3,0.19,0,1.2626007426261903,8435516,0.19,0.0,2,0.0,0,0.4,UNSAT,,0.328,
4,3,3,1.2626007426261903,1,1.2626007426261903,8435516,1.01,0.0,0,0.0,0,1.4100000000000001,TIMEOUT,,1.371,
5,4,3,1.2626007426261903,1,1.2626007426261903,8435516,1.02,0.0,0,0.0,0,2.43,TIMEOUT,,1.533,
6,5,3,1.2626007426261903,1,1.2626007426261903,8435516,1.02,0.0,0,0.0,0,3.45,TIMEOUT,,1.612,
7,1,4,0.02,0,5.0,16049169,0.02,0.0,2,0.0,0,3.47,UNSAT,,0.136,
8,1,2,0.02,0,5.0,8765092,0.02,0.0,2,0.0,0,3.49,UNSAT,,0.105,
9,6,1,0.01,0,1.015600048351288,5320365,0.01,0.0,2,0.0,0,3.5,UNSAT,,0.103,
10,2,1,0.01,0,0.201,5320365,0.01,0.0,2,0.0,0,3.51,UNSAT,,0.111,
11,7,3,1.2626007426261903,1,1.2626007426261903,8435516,1.02,0.0,0,0.0,0,4.529999999999999,TIMEOUT,,1.491,
12,8,1,0.01,0,1.015600048351288,5320365,0.01,0.0,2,0.0,0,4.539999999999999,UNSAT,,0.122,
13,9,4,0.03,0,1.0286006558418275,16049169,0.03,0.0,2,0.0,0,4.569999999999999,UNSAT,,0.16,
14,2,2,0.02,0,1.0442001450538636,8765092,0.02,0.0,2,0.0,0,4.589999999999999,UNSAT,,0.112,
15,1,5,0.01,0,5.0,7163446,0.01,0.0,2,0.0,0,4.599999999999999,UNSAT,,0.09,
16,1,3,0.27,0,5.0,1009110,0.27,0.0,2,0.0,0,4.869999999999999,UNSAT,,0.517,
17,1,4,0.02,0,5.0,15375424,0.02,0.0,2,0.0,0,4.889999999999999,UNSAT,,0.173,
18,1,5,0.02,0,5.0,15753149,0.02,0.0,2,0.0,0,4.909999999999998,UNSAT,,0.145,
19,8,2,0.01,0,1.0299000967025758,8765092,0.01,0.0,2,0.0,0,4.919999999999998,UNSAT,,0.133,
20,2,4,0.02,0,1.045500360774994,16049169,0.02,0.0,2,0.0,0,4.939999999999998,UNSAT,,0.135,
21,10,2,0.02,0,1.0286006558418275,8765092,0.02,0.0,2,0.0,0,4.959999999999997,UNSAT,,0.164,
22,11,2,0.01,0,1.0286006558418275,8765092,0.01,0.0,2,0.0,0,4.969999999999997,UNSAT,,0.152,
23,8,5,0.02,0,1.037700616168976,15753149,0.02,0.0,2,0.0,0,4.989999999999997,UNSAT,,0.171,
24,12,4,0.02,0,1.0286006558418275,15375424,0.02,0.0,2,0.0,0,5.009999999999996,UNSAT,,0.223,
25,2,5,0.0635,0,0.0635,7163446,0.02,0.0,0,0.0,0,5.029999999999996,TIMEOUT,,0.189,
26,2,3,0.0635,0,0.0635,1009110,0.02,0.0,0,0.0,0,5.049999999999995,TIMEOUT,,0.182,
27,2,5,0.01,0,0.0635,15753149,0.01,0.0,2,0.0,0,5.059999999999995,UNSAT,,0.145,
28,13,3,1.2626007426261903,1,1.2626007426261903,8435516,1.02,0.0,0,0.0,0,6.079999999999995,TIMEOUT,,1.794,
29,2,4,0.01,0,0.0635,15375424,0.01,0.0,2,0.0,0,6.0899999999999945,UNSAT,,0.205,
30,12,1,0.01,0,1.0169002640724183,5320365,0.01,0.0,2,0.0,0,6.099999999999994,UNSAT,,0.164,
